env,ordering,state_index,state_type,cut,singular_index,singular_value,exact_unfolding,matrix_rows,matrix_cols,used_rows,used_cols
HM8,local,0,easy,9,24,1.998312309213311e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,25,1.8913493947199034e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,26,1.7911524033697412e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,27,1.7069823803015812e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,28,1.6841435686955903e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,29,1.6740991293195198e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,30,1.4926509562982108e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,31,1.4153844074084772e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,32,1.3978771520674375e-09,False,3981312,27648,512,512
HM8,local,0,easy,10,1,35545695.894708216,False,7962624,13824,512,512
HM8,local,0,easy,10,2,21721.64576893708,False,7962624,13824,512,512
HM8,local,0,easy,10,3,5.9086935494028824e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,4,4.550626038479171e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,5,4.3113864132319875e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,6,2.60106982119685e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,7,2.284467259828165e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,8,1.693854613124095e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,9,1.5869232174365384e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,10,1.543998059797406e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,11,1.2018930348284161e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,12,1.0959608915395531e-08,False,7962624,13824,512,512
HM8,local,0,easy,10,13,8.577918717990285e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,14,8.100114516153353e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,15,5.162491060066761e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,16,4.642130932505225e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,17,3.998968914643379e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,18,3.884264448327105e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,19,3.6468842297948192e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,20,3.1003198816266447e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,21,2.650541912200276e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,22,2.526159706056478e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,23,2.4308916752366036e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,24,1.933988832539813e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,25,1.7571989546746902e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,26,1.665415309495131e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,27,1.6260641669537205e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,28,1.3883901736253965e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,29,1.3104979273554164e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,30,1.2733392653634357e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,31,1.1777740566976103e-09,False,7962624,13824,512,512
HM8,local,0,easy,10,32,1.089039011419331e-09,False,7962624,13824,512,512
HM8,local,0,easy,11,1,35534933.434325054,False,95551488,1152,512,512
HM8,local,0,easy,11,2,198678.1280535155,False,95551488,1152,512,512
HM8,local,0,easy,11,3,18654.45859329953,False,95551488,1152,512,512
HM8,local,0,easy,11,4,4.275616840042786e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,5,3.332958249942013e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,6,2.5802362862486333e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,7,2.0782383438789004e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,8,1.984172542500568e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,9,1.6340313513901907e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,10,1.5579627251983032e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,11,1.3690402304595129e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,12,1.1492258053456535e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,13,1.1234473075553149e-08,False,95551488,1152,512,512
HM8,local,0,easy,11,14,7.501991321239234e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,15,5.170016631954226e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,16,4.368803285669887e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,17,3.5401600539358167e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,18,3.3236523650151063e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,19,3.126975795207561e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,20,2.9810321395220972e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,21,2.754679492801671e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,22,2.51842369579202e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,23,2.273059703419833e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,24,2.2457576980809633e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,25,2.0113967845132927e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,26,1.9798177258191284e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,27,1.8870608433718007e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,28,1.6581356247513043e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,29,1.5371827979229918e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,30,1.4671637447498564e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,31,1.4603565574152203e-09,False,95551488,1152,512,512
HM8,local,0,easy,11,32,1.3461824575047367e-09,False,95551488,1152,512,512
HM8,local,0,easy,12,1,35737168.7460481,False,191102976,576,512,512
HM8,local,0,easy,12,2,21143.867453410196,False,191102976,576,512,512
HM8,local,0,easy,12,3,6.613130210371399e-08,False,191102976,576,512,512
HM8,local,0,easy,12,4,6.0388586466124e-08,False,191102976,576,512,512
